user_id,product_id,purchase_date,quantity,price_paid_per_unit,total_price_paid,discount_percent,product_diet_type,user_diet_type
U0122,P0103,2025-06-27,2,172.92,345.84,50,red,red
U0274,P0114,2025-05-28,1,278.68,278.68,20,green,green
U0063,P0436,2025-05-08,1,182.83,182.83,50,green,green
U0076,P0179,2025-06-28,2,225.43,450.86,50,green,green
U0057,P0383,2025-06-21,1,334.31,334.31,20,green,yellow
U0066,P0419,2025-06-14,2,326.96,653.92,10,green,green
U0128,P0323,2025-06-28,2,259.83,519.66,20,green,green
U0070,P0144,2025-06-19,3,458.49,1375.47,0,yellow,yellow
U0194,P0069,2025-06-25,2,247.97,495.94,40,green,green
U0023,P0498,2025-06-08,3,364.3,1092.9,0,green,yellow
U0019,P0191,2025-06-26,2,170.52,341.04,0,green,red
U0069,P0372,2025-05-31,1,217.71,217.71,0,red,red
U0073,P0465,2025-06-11,1,31.28,31.28,50,green,yellow
U0063,P0406,2025-06-18,1,239.0,239.0,0,green,green
U0142,P0031,2025-05-18,3,327.73,983.19,0,green,red
U0270,P0430,2025-06-25,2,325.74,651.48,20,green,green
U0104,P0034,2025-06-17,3,98.7,296.1,50,red,red
U0222,P0131,2025-06-01,1,333.82,333.82,20,green,green
U0004,P0031,2025-06-01,2,327.73,655.46,0,green,green
U0210,P0365,2025-06-14,3,344.68,1034.04,0,red,red
U0011,P0093,2025-06-20,3,157.54,472.62,20,green,red
U0107,P0156,2025-06-05,2,157.26,314.52,10,yellow,red
U0218,P0444,2025-06-16,3,443.4,1330.2,0,green,green
U0138,P0465,2025-06-01,1,31.28,31.28,50,green,yellow
U0009,P0056,2025-06-26,3,152.19,456.57,50,red,red
U0254,P0303,2025-06-17,2,269.46,538.92,30,green,green
U0215,P0384,2025-06-27,2,179.55,359.1,20,yellow,red
U0137,P0135,2025-05-13,2,49.56,99.12,50,green,yellow
U0031,P0118,2025-06-05,1,365.85,365.85,0,red,red
U0019,P0090,2025-06-14,1,391.38,391.38,0,red,red
U0142,P0249,2025-06-22,1,111.38,111.38,10,red,red
U0202,P0493,2025-06-18,1,394.25,394.25,0,green,green
U0056,P0248,2025-06-22,1,316.9,316.9,20,green,green
U0257,P0041,2025-05-06,2,117.38,234.76,30,green,yellow
U0165,P0050,2025-06-03,1,186.58,186.58,50,green,green
U0213,P0048,2025-06-05,3,246.05,738.15,20,green,green
U0007,P0124,2025-06-12,2,66.25,132.5,0,green,yellow
U0292,P0120,2025-06-28,2,349.8,699.6,30,green,yellow
U0155,P0135,2025-05-27,2,49.56,99.12,50,green,green
U0010,P0443,2025-06-21,1,214.5,214.5,50,green,green
U0171,P0122,2025-06-20,2,113.14,226.28,10,yellow,red
U0135,P0054,2025-06-14,2,154.95,309.9,20,red,red
U0110,P0452,2025-05-31,2,292.08,584.16,20,green,red
U0278,P0050,2025-06-07,1,186.58,186.58,50,green,yellow
U0120,P0397,2025-06-20,1,248.44,248.44,40,green,green
U0001,P0468,2025-06-12,3,175.98,527.94,20,green,green
U0052,P0261,2025-06-01,2,344.22,688.44,0,yellow,yellow
U0245,P0336,2025-06-27,3,387.65,1162.95,10,yellow,red
U0296,P0430,2025-06-28,3,325.74,977.22,20,green,red
U0006,P0049,2025-06-03,2,329.23,658.46,0,red,red
U0148,P0361,2025-06-17,1,258.48,258.48,30,yellow,yellow
U0202,P0093,2025-06-26,2,157.54,315.08,20,green,green
U0137,P0293,2025-06-11,1,63.64,63.64,0,green,yellow
U0217,P0184,2025-06-28,2,222.97,445.94,50,yellow,red
U0153,P0426,2025-06-02,2,272.26,544.52,40,green,green
U0142,P0483,2025-06-06,1,57.33,57.33,0,red,red
