product_id,name,category,brand,diet_type,allergens,shelf_life_days,packaging_date,expiry_date,weight_grams,price_mrp,current_discount_percent,store_location_lat,store_location_lon
P0000,Nor Snacks,Snacks,Martin-Nelson,non-vegetarian,"['eggs', 'nuts']",90,2025-05-29,2025-08-27,750,145.07,30,78.6627945,164.402997
P0001,Physical Cheese,Cheese,Rivas-Lopez,non-vegetarian,[],41,2025-06-13,2025-07-24,250,476.43,0,-56.707465,-160.894196
P0002,Law Dairy,Dairy,"James, Davis and Zuniga",non-vegetarian,['soy'],79,2025-06-22,2025-09-09,500,96.91,20,-32.227528,123.527034
P0003,Himself Spreads,Spreads,"Fischer, Henson and Baird",eggs,[],81,2025-06-03,2025-08-23,500,189.14,20,-32.8706645,54.993490
P0004,International Cheese,Cheese,"Mckinney, Love and Golden",vegetarian,"['eggs', 'gluten']",48,2025-06-21,2025-08-08,750,62.5,40,47.7204765,-131.611627
P0005,Eat Meat,Meat,Stephens-French,non-vegetarian,['dairy'],57,2025-06-01,2025-07-28,750,103.05,30,-69.298886,43.170827
P0006,Dinner Beverages,Beverages,Brown Inc,vegan,[],64,2025-05-21,2025-07-24,250,61.01,40,-36.612915,35.104319
P0007,Mr Snacks,Snacks,Nelson Group,eggs,"['eggs', 'nuts']",154,2025-07-03,2025-12-04,750,257.07,30,-50.5155865,-99.027498
P0008,Among Biscuits,Biscuits,Phillips-Bowen,vegan,"['soy', 'gluten']",83,2025-05-17,2025-08-08,250,169.14,20,-44.6205305,106.494612
P0009,Art Biscuits,Biscuits,"Clayton, Fisher and Roberts",non-vegetarian,"['dairy', 'nuts']",180,2025-06-28,2025-12-25,1000,87.73,30,69.491740,145.764292
P0010,Degree Biscuits,Biscuits,Ellis PLC,non-vegetarian,"['soy', 'eggs']",36,2025-05-26,2025-07-01,1000,297.7,0,-31.7635155,76.120614
P0011,Power Dairy,Dairy,"Scott, Gibson and Roberson",eggs,['nuts'],127,2025-06-23,2025-10-28,1000,401.06,40,71.230801,125.062106
P0012,Sea Cheese,Cheese,"Mccormick, King and Tran",vegan,"['dairy', 'gluten']",144,2025-07-01,2025-11-22,500,488.91,50,-62.455752,13.458086
P0013,Guess Cheese,Cheese,"Braun, Nielsen and Webb",vegan,[],79,2025-06-21,2025-09-08,750,468.84,10,-63.102467,-123.773453
