user_id,product_id,purchase_date,quantity,price_paid_per_unit,total_price_paid,discount_percent,product_diet_type,user_diet_type,days_to_expiry_at_purchase,user_engaged_with_deal
U0020,P0239,2025-06-16,2,179.27,358.54,0,eggs,non-vegetarian,124,1
U0145,P0283,2025-07-10,1,225.81,225.81,30,eggs,eggs,53,0
U0105,P0017,2025-07-06,1,323.23,323.23,10,vegetarian,non-vegetarian,144,1
U0046,P0046,2025-07-08,2,192.46,384.92,10,vegetarian,eggs,96,1
U0085,P0272,2025-07-06,3,356.16,1068.48,10,eggs,non-vegetarian,125,1
U0072,P0151,2025-06-20,3,256.8,770.4,10,vegan,non-vegetarian,88,1
U0024,P0257,2025-06-19,1,357.51,357.51,0,vegan,non-vegetarian,77,0
U0019,P0170,2025-06-18,1,112.97,112.97,20,vegan,vegan,133,0
U0046,P0077,2025-06-12,2,291.82,583.64,40,vegetarian,eggs,19,0
U0015,P0281,2025-06-25,1,355.56,355.56,0,eggs,eggs,91,1
U0093,P0231,2025-06-24,1,196.64,196.64,0,vegan,eggs,0,1
U0009,P0124,2025-06-20,2,167.18,334.36,40,vegetarian,vegetarian,142,0
U0173,P0219,2025-06-21,3,257.14,771.42,0,eggs,eggs,44,1
U0179,P0185,2025-06-30,3,257.17,771.51,20,vegetarian,eggs,106,1
U0037,P0269,2025-06-14,1,493.58,493.58,0,vegan,vegetarian,167,1
U0085,P0241,2025-06-26,1,360.88,360.88,10,eggs,non-vegetarian,30,1
U0046,P0149,2025-07-03,3,270.82,812.46,0,eggs,eggs,142,1
U0031,P0028,2025-06-18,2,396.61,793.22,20,vegan,non-vegetarian,120,1
U0093,P0295,2025-07-04,2,104.53,209.06,40,eggs,eggs,55,0
U0104,P0101,2025-06-16,1,139.15,139.15,0,vegetarian,vegetarian,98,0
U0086,P0077,2025-06-22,1,291.82,291.82,40,vegetarian,eggs,9,1
U0053,P0292,2025-06-20,1,26.76,26.76,50,vegetarian,eggs,34,0
U0064,P0180,2025-06-19,3,499.49,1498.47,0,vegetarian,eggs,153,0
U0127,P0238,2025-06-24,3,57.6,172.8,10,non-vegetarian,non-vegetarian,72,1
U0003,P0103,2025-07-05,3,72.97,218.91,0,vegan,vegetarian,52,0
U0006,P0248,2025-06-23,1,113.37,113.37,50,vegetarian,non-vegetarian,76,0
U0154,P0148,2025-06-30,3,41.38,124.14,20,vegan,vegan,39,1
U0115,P0286,2025-07-08,2,240.2,480.4,10,vegetarian,eggs,21,1
U0057,P0146,2025-06-27,2,35.84,71.68,50,non-vegetarian,non-vegetarian,8,1
U0179,P0057,2025-06-26,2,101.59,203.18,40,vegan,eggs,142,1
U0061,P0216,2025-07-05,1,286.32,286.32,20,vegan,eggs,43,0
U0021,P0056,2025-07-05,2,105.37,210.74,50,vegetarian,eggs,52,1
U0178,P0079,2025-07-09,3,102.7,308.1,0,vegetarian,non-vegetarian,70,0
U0197,P0063,2025-06-24,2,143.47,286.94,50,vegan,non-vegetarian,43,1
U0037,P0178,2025-06-26,2,380.24,760.48,20,vegan,vegetarian,157,1
U0194,P0196,2025-06-12,3,277.1,831.3,20,vegetarian,vegetarian,100,1
U0127,P0201,2025-07-08,1,214.95,214.95,30,vegetarian,non-vegetarian,92,1
U0125,P0039,2025-07-01,3,206.96,620.88,20,vegetarian,vegetarian,53,1
U0027,P0181,2025-06-29,2,226.21,452.42,0,vegan,vegan,42,1
U0075,P0110,2025-06-17,3,143.0,429.0,50,vegan,eggs,107,1
