user_id,age,gender,diet_type,allergies,prefers_discount,location_lat,location_lon,preferred_categories,last_purchase_date
U0000,18,Male,vegetarian,"['soy', 'dairy']",True,20.7138505,0.169308,['Cheese'],2025-05-15
U0001,45,Female,vegan,['eggs'],True,12.5066455,159.133900,['Spreads'],2025-06-10
U0002,51,Male,eggs,"['nuts', 'soy']",False,39.7063185,-127.633206,['Beverages'],2025-06-24
U0003,31,Female,vegetarian,"['dairy', 'eggs']",True,12.333538,129.646491,"['Spreads', 'Dairy']",2025-06-01
U0004,49,Male,non-vegetarian,"['gluten', 'eggs']",True,-43.3241215,-57.686342,"['Dairy', 'Cheese']",2025-06-08
U0005,41,Male,vegetarian,['soy'],False,-50.9510765,-87.495227,['Dairy'],2025-06-07
U0006,51,Female,non-vegetarian,"['eggs', 'gluten']",True,-6.113113,-135.226864,"['Dairy', 'Biscuits']",2025-07-07
U0007,25,Male,vegan,[],False,-43.8034305,175.890472,['Snacks'],2025-07-09
U0008,26,Female,non-vegetarian,"['eggs', 'nuts']",False,11.790382,39.707655,['Snacks'],2025-06-06
U0009,20,Male,vegetarian,"['eggs', 'soy']",True,40.0078845,-70.598037,"['Biscuits', 'Snacks', 'Sauces']",2025-07-03
U0010,64,Other,vegetarian,['gluten'],True,-13.049502,-144.321258,['Spreads'],2025-07-03
U0011,18,Male,vegetarian,"['nuts', 'gluten']",False,-63.618639,-119.523723,"['Cheese', 'Snacks']",2025-06-19
U0012,35,Other,vegetarian,"['nuts', 'gluten']",False,69.7116115,-61.127438,"['Beverages', 'Dairy']",2025-05-24
U0013,36,Female,non-vegetarian,[],True,-73.6087715,-152.666080,"['Sauces', 'Biscuits']",2025-06-06
U0014,52,Male,vegetarian,"['nuts', 'eggs']",True,44.9372135,-132.925192,['Biscuits'],2025-05-15
U0015,52,Other,eggs,['gluten'],True,3.4351775,93.139316,"['Dairy', 'Spreads']",2025-07-10
U0016,29,Female,vegan,"['eggs', 'nuts']",True,67.376401,-108.351911,"['Biscuits', 'Sauces', 'Spreads']",2025-07-08
U0017,55,Male,vegetarian,['gluten'],False,57.731021,135.375254,['Sauces'],2025-06-24
U0018,37,Other,vegan,"['eggs', 'soy']",True,-78.168764,-176.865671,"['Sauces', 'Beverages']",2025-06-21
U0019,31,Other,vegan,[],True,-67.0775925,-125.896744,"['Biscuits', 'Beverages', 'Sauces']",2025-05-25
U0020,21,Female,non-vegetarian,['nuts'],True,13.879218,-113.633756,"['Cheese', 'Sauces', 'Meat']",2025-06-04
U0021,60,Other,eggs,[],True,-50.450719,170.697016,['Snacks'],2025-06-12
U0022,23,Other,vegan,"['gluten', 'eggs']",True,-76.7704205,-178.005469,['Biscuits'],2025-06-20
U0023,35,Female,vegan,[],True,51.042735,56.898525,"['Beverages', 'Spreads']",2025-06-28
U0024,46,Female,non-vegetarian,[],True,24.460658,-4.179685,"['Snacks', 'Beverages', 'Dairy']",2025-06-08
U0025,48,Female,vegetarian,['eggs'],True,51.288646,-104.495834,"['Spreads', 'Snacks']",2025-06-09
U0026,26,Male,vegan,['dairy'],False,-34.825915,43.855051,"['Snacks', 'Biscuits', 'Beverages']",2025-06-18
U0027,35,Male,vegan,"['nuts', 'eggs']",True,-59.5245965,-10.351521,['Snacks'],2025-07-09
U0028,52,Other,non-vegetarian,['dairy'],True,-56.3468975,-92.607518,"['Sauces', 'Snacks', 'Biscuits']",2025-06-10
U0029,42,Other,non-vegetarian,['dairy'],True,89.089122,48.885769,"['Biscuits', 'Snacks']",2025-07-03
U0030,33,Other,eggs,"['dairy', 'nuts']",True,3.739891,-155.207661,"['Spreads', 'Sauces', 'Snacks']",2025-06-30
U0031,44,Other,non-vegetarian,"['soy', 'nuts']",True,17.3477855,-32.467520,['Meat'],2025-05-23
U0032,55,Female,vegan,"['soy', 'gluten']",True,-26.1814285,-21.779651,"['Biscuits', 'Snacks']",2025-07-06
U0033,48,Other,eggs,['nuts'],False,67.720409,109.147225,['Spreads'],2025-06-30
U0034,44,Male,non-vegetarian,"['eggs', 'soy']",False,-18.5776035,-86.495559,"['Biscuits', 'Cheese']",2025-05-22
U0035,40,Other,non-vegetarian,['gluten'],False,-89.7975575,40.844920,"['Spreads', 'Snacks', 'Biscuits']",2025-06-12
U0036,55,Other,eggs,[],True,-59.9740725,44.772564,['Snacks'],2025-05-21
U0037,22,Female,vegetarian,['soy'],True,-22.676701,-129.837050,"['Biscuits', 'Snacks']",2025-07-09
U0038,58,Male,non-vegetarian,['gluten'],False,79.514455,-66.824219,"['Dairy', 'Cheese', 'Meat']",2025-05-26
U0039,62,Female,vegan,[],True,-4.3025955,-13.774768,"['Sauces', 'Biscuits']",2025-05-24
U0040,18,Female,vegetarian,"['soy', 'eggs']",True,-4.800003,93.113805,['Cheese'],2025-05-14
U0041,48,Male,eggs,['dairy'],True,-46.550673,-29.356151,"['Biscuits', 'Dairy']",2025-05-28
U0042,47,Male,vegetarian,[],True,79.427371,57.094024,"['Biscuits', 'Snacks']",2025-05-16
U0043,45,Female,vegan,[],True,19.811009,65.790865,['Beverages'],2025-05-16
U0044,38,Other,eggs,['dairy'],True,51.0738595,124.858898,"['Spreads', 'Sauces', 'Cheese']",2025-07-10
U0045,63,Female,eggs,[],True,37.048680,-62.802563,['Cheese'],2025-07-08
U0046,37,Other,eggs,['gluten'],True,30.182313,-53.237474,"['Cheese', 'Biscuits', 'Beverages']",2025-06-21
U0047,65,Male,vegetarian,[],True,-1.8682105,75.607587,['Beverages'],2025-07-09
U0048,32,Other,vegan,"['dairy', 'eggs']",True,25.944538,71.383731,['Biscuits'],2025-07-08
U0049,50,Other,vegetarian,['dairy'],True,-40.211333,-79.879798,"['Cheese', 'Beverages', 'Spreads']",2025-05-28
U0050,25,Male,eggs,['dairy'],True,-58.7279275,144.156208,"['Beverages', 'Dairy']",2025-06-09
U0051,57,Male,eggs,[],False,65.2052905,161.194997,['Snacks'],2025-06-28
U0052,30,Female,vegan,"['nuts', 'gluten']",True,68.267977,-106.691992,"['Snacks', 'Spreads']",2025-06-24
U0053,60,Male,eggs,[],True,84.0489555,-34.261464,['Spreads'],2025-07-07
U0054,52,Male,vegetarian,"['soy', 'eggs']",True,-53.0236135,-158.538281,"['Beverages', 'Spreads', 'Biscuits']",2025-07-03
U0055,38,Female,eggs,['soy'],True,27.4716845,137.490745,"['Cheese', 'Biscuits']",2025-06-16
U0056,47,Male,non-vegetarian,['eggs'],False,-15.456552,-50.576418,"['Spreads', 'Snacks']",2025-06-22
U0057,47,Female,non-vegetarian,['eggs'],True,80.2567455,-18.803734,"['Beverages', 'Spreads']",2025-06-15
U0058,21,Male,vegan,['eggs'],True,-19.896427,-126.540151,"['Spreads', 'Biscuits']",2025-07-04
U0059,53,Other,vegetarian,"['gluten', 'soy']",False,54.589097,-167.269435,"['Snacks', 'Beverages']",2025-05-16
U0060,49,Female,eggs,['dairy'],True,-52.0735655,-89.147124,['Beverages'],2025-06-13
